"title","type","release_date","mcu_phase","timeline_start","timeline_end","note"
"Captain America: The First Avenger","Movie","2011-07-22",1,1942,1945,"during WWII 1942-1945"
"Marvel’s Agent Carter (Season 1)","Series","2015-01-06",1,1946,1947,"1946-1947"
"Marvel’s Agent Carter (Season 2)","Series","2016-05-04",1,1946,1947,"1946-1947"
"Captain Marvel","Movie","2019-03-08",3,1995,1995,"1995"
"Spider-Man (2002)","Adjacent","2002-05-03",,2002,2002,"takes place in 2002"
"Spider-Man 2 (2004)","Adjacent","2004-06-30",,2004,2004,"takes place in 2004"
"Spider-Man 3 (2007)","Adjacent","2007-05-04",,2005,2005,"takes place in 2005"
"Iron Man","Movie","2008-05-02",1,2010,2010,"(Feb-Nov) 2010"
"Iron Man 2","Movie","2010-05-07",1,2011,2011,"(May) 2011/after Iron Man"
"The Incredible Hulk","Movie","2008-06-13",1,2011,2011,"(Apr-July) 2011/pre-Avengers"
"A Funny Thing Happened on the Way to Thor's Hammer","One-Shot","2011-09-13",1,2011,2011,"(May) 2011"
"Thor","Movie","2011-05-06",1,2011,2011,"(May) 2011/6 months before Avengers"
"The Consultant","One-Shot","2011-09-13",1,2011,2011,"(July) 2011"
"The Amazing Spider-Man 1","Adjacent","2012-07-03",,2012,2012,"2012"
"The Amazing Spider-Man 2","Adjacent","2014-05-02",,2014,2014,"2014"
"The Avengers","Movie","2012-05-04",1,2012,2012,"(May) 2012"
"Item 47","One-Shot","2012-09-25",1,2012,2012,"(May) 2012"
"Iron Man 3","Movie","2013-05-03",2,2012,2012,"(Dec) 2012/6 months after The Avengers/2012, before Cap.: TWS"
"All Hail the King","One-Shot","2014-02-04",2,2013,2013,"2013"
"Thor: The Dark World","Movie","2013-11-08",2,2013,2013,"(Nov) 2013/post-Avengers, pre-Ultron"
"Agents of S.H.I.E.L.D. (Season 1)","Series","2013-09-24",2,2013,2014,"(Sep) 2013 to (Jan) 2014"
"Captain America: The Winter Soldier","Movie","2014-04-04",2,2014,2014,"(Jan) 2014/post-Av., pre-Ultron"
"Guardians of the Galaxy","Movie","2014-08-01",2,2014,2014,"sometime in 2014"
"I am Groot (Season 1)","Series","2022-08-10",4,2014,2014,""
"Guardians of the Galaxy Vol. 2","Movie","2017-05-05",3,2014,2014,"after Vol. 1"
"I am Groot (Season 2)","Series","2023-09-06",5,2014,2014,""
"Daredevil (Season 1)","Series","2015-04-10",,2014,2014,"(July-Oct) 2014"
"Jessica Jones (Season 1)","Series","2015-11-20",,2015,2015,"(Feb-Mar) 2015"
"Agents of S.H.I.E.L.D. (Season 2)","Series","2014-09-23",2,2015,2015,"(Apr-June) 2015"
"Avengers: Age of Ultron","Movie","2015-05-01",2,2015,2015,"(June) 2015"
"Ant-Man","Movie","2015-07-17",2,2015,2015,"(July-Nov) 2015"
"Daredevil (Season 2)","Series","2016-03-18",,2015,2015,"(July-Dec) 2015"
"Luke Cage (Season 1)","Series","2016-09-30",,2015,2015,"(Dec) 2015"
"Agents of S.H.I.E.L.D. (Season 3)","Series","2015-09-29",3,2016,2016,"(Feb-Apr) 2016"
"Captain America: Civil War","Movie","2016-05-06",3,2016,2016,"(Mar-Apr) 2016/post-Ult., pre-Inf. War"
"Black Widow","Movie","2021-07-09",4,2016,2016,"(Apr) 2016/right after Civil War"
"Black Panther","Movie","2018-02-16",3,2016,2017,"(Apr) 2016/2017"
"Iron Fist (Season 1)","Series","2017-03-17",,2016,2016,"(Feb-July) 2016"
"Inhumans (Season 1)","Series","2017-09-29",,2016,2016,"(Aug) 2016"
"Doctor Strange","Movie","2016-11-04",3,2015,2016,"(Jan) 2015 - (Sep) 2016"
"Spider-Man: Homecoming","Movie","2017-07-07",3,2016,2016,"(Sep) 2016/post-Civ. War, pre-Inf. War"
